type,label,value,evidence,source_title,source_url
Other,Manslaughter charges filed,Michael Butler arrested and charged with manslaughter,Michael Butler was arrested on Wednesday and claimed to have been driving his Model 3 using Tesla's Full-Self Driving (FSD),Tesla driver faces manslaughter charges over Texas crash that killed a woman inside her home,https://www.theverge.com/transportation/961161/tesla-fsd-katy-tx-manslaughter-charges
Launch,Meta Pocket AI App Launch,Meta launched a new AI-focused app called Pocket enabling creation and sharing of interactive AI 'gizmos'.,"Meta is launching an app called Pocket with an entirely different, AI-focused pitch: this new app lets you make and share little interactive 'gizmos' built from an AI prompt",Meta has a new app called Pocket that is absolutely nothing like the old Pocket,https://www.theverge.com/tech/961086/meta-pocket-app-gizmo-ai
Benchmark,GeneBench-Pro launch,A new benchmark for AI performance in genomics and biological data analysis,"Introducing GeneBench-Pro, a research-level benchmark for AI performance in genomics, biology, and scientific research using complex, real-world datasets.","We’re introducing GeneBench-Pro, a research-level benchmark for a harder kind of AI progress: how well agents can navigate messy biological data, choose the right analysis path, and make judgment calls that real computational research depends on. https://openai.com/index/introducing-genebench-pro/",https://nitter.net/OpenAI/status/2072004836674167294#m
Model Release,GPT-5.6 Sol launch,Most robust safety stack with real-time protections,GPT‑5.6 Sol launches with our most robust safety stack yet.,"R to @OpenAI: GPT‑5.6 Sol launches with our most robust safety stack yet. We strengthened real-time protections against high-risk cyber activity and repeated misuse, then spent weeks hardening the system with human red teaming and over 700,000 A100-equivalent GPU hours of automated testing.",https://nitter.net/OpenAI/status/2070555280052826429#m
Other,Automated testing compute,"700,000 A100-equivalent GPU hours","over 700,000 A100-equivalent GPU hours of automated testing","R to @OpenAI: GPT‑5.6 Sol launches with our most robust safety stack yet. We strengthened real-time protections against high-risk cyber activity and repeated misuse, then spent weeks hardening the system with human red teaming and over 700,000 A100-equivalent GPU hours of automated testing.",https://nitter.net/OpenAI/status/2070555280052826429#m
Model Release,GPT-5.6 Sol,Most capable cybersecurity model with improved performance-efficiency for long-horizon tasks,GPT-5.6 Sol is our most capable model yet for cybersecurity. It shifts the performance-efficiency frontier for long-horizon security tasks including vulnerability research and exploitation.,R to @OpenAI: GPT-5.6 Sol is our most capable model yet for cybersecurity. It shifts the performance-efficiency frontier for long-horizon security tasks including vulnerability research and exploitation.,https://nitter.net/OpenAI/status/2070555278576439306#m
Model Release,GPT-5.6 Sol,New state-of-the-art on Terminal-Bench 2.1,GPT‑5.6 Sol sets a new state of the art on Terminal‑Bench 2.1,"R to @OpenAI: GPT‑5.6 Sol sets a new state of the art on Terminal‑Bench 2.1, which tests complex command-line workflows requiring planning, iteration, and tool coordination.",https://nitter.net/OpenAI/status/2070555276370169969#m
Model Release,Sol model performance,Step function better than GPT-5.5,Sol is our new flagship and a step function better than GPT-5.5.,"R to @OpenAI: Sol is our new flagship and a step function better than GPT-5.5. Terra delivers performance competitive to GPT-5.5 at 2x lower cost. Luna is our most cost-efficient model, delivering strong capability at our lowest cost. Together, the GPT-5.6 family gives people and developers more choice in how they balance intelligence, speed, and cost.",https://nitter.net/OpenAI/status/2070555274835046430#m
Model Release,Terra model cost efficiency,2x lower cost than GPT-5.5 with competitive performance,Terra delivers performance competitive to GPT-5.5 at 2x lower cost.,"R to @OpenAI: Sol is our new flagship and a step function better than GPT-5.5. Terra delivers performance competitive to GPT-5.5 at 2x lower cost. Luna is our most cost-efficient model, delivering strong capability at our lowest cost. Together, the GPT-5.6 family gives people and developers more choice in how they balance intelligence, speed, and cost.",https://nitter.net/OpenAI/status/2070555274835046430#m
Model Release,Luna model cost efficiency,Strong capability at lowest cost,"Luna is our most cost-efficient model, delivering strong capability at our lowest cost.","R to @OpenAI: Sol is our new flagship and a step function better than GPT-5.5. Terra delivers performance competitive to GPT-5.5 at 2x lower cost. Luna is our most cost-efficient model, delivering strong capability at our lowest cost. Together, the GPT-5.6 family gives people and developers more choice in how they balance intelligence, speed, and cost.",https://nitter.net/OpenAI/status/2070555274835046430#m
Model Release,"GPT-5.6 Sol, Terra, and Luna",Planned general availability in coming weeks,"We believe in broad access and plan to make GPT-5.6 Sol, Terra, and Luna generally available in the coming weeks.","R to @OpenAI: We believe in broad access and plan to make GPT-5.6 Sol, Terra, and Luna generally available in the coming weeks. For now, at the request of the U.S. government, we’re starting with a limited preview among a small group of trusted partners in Codex and the API.",https://nitter.net/OpenAI/status/2070555273467687257#m
Model Release,Limited preview access,Small group of trusted partners via Codex and API,"For now, at the request of the U.S. government, we’re starting with a limited preview among a small group of trusted partners in Codex and the API.","R to @OpenAI: We believe in broad access and plan to make GPT-5.6 Sol, Terra, and Luna generally available in the coming weeks. For now, at the request of the U.S. government, we’re starting with a limited preview among a small group of trusted partners in Codex and the API.",https://nitter.net/OpenAI/status/2070555273467687257#m
Model Release,GPT-5.6 Sol,"Next-generation frontier model with enhanced coding, science, and cybersecurity capabilities","Introducing a limited preview of GPT-5.6 Sol, our next generation frontier model","Pinned: Introducing a limited preview of GPT-5.6 Sol, our next generation frontier model, as well as GPT-5.6 Terra, a balanced model for efficient, everyday work, and GPT-5.6 Luna, a fast and affordable model for high-volume work. https://openai.com/index/previewing-gpt-5-6-sol/",https://nitter.net/OpenAI/status/2070555272230384038#m
Model Release,GPT-5.6 Terra,"Balanced model for efficient, everyday work","GPT-5.6 Terra, a balanced model for efficient, everyday work","Pinned: Introducing a limited preview of GPT-5.6 Sol, our next generation frontier model, as well as GPT-5.6 Terra, a balanced model for efficient, everyday work, and GPT-5.6 Luna, a fast and affordable model for high-volume work. https://openai.com/index/previewing-gpt-5-6-sol/",https://nitter.net/OpenAI/status/2070555272230384038#m
Model Release,GPT-5.6 Luna,Fast and affordable model for high-volume work,"GPT-5.6 Luna, a fast and affordable model for high-volume work","Pinned: Introducing a limited preview of GPT-5.6 Sol, our next generation frontier model, as well as GPT-5.6 Terra, a balanced model for efficient, everyday work, and GPT-5.6 Luna, a fast and affordable model for high-volume work. https://openai.com/index/previewing-gpt-5-6-sol/",https://nitter.net/OpenAI/status/2070555272230384038#m
Other,Advanced Safety Stack,Most advanced safety stack deployed with GPT-5.6 Sol,paired with its most advanced safety stack,"Pinned: Introducing a limited preview of GPT-5.6 Sol, our next generation frontier model, as well as GPT-5.6 Terra, a balanced model for efficient, everyday work, and GPT-5.6 Luna, a fast and affordable model for high-volume work. https://openai.com/index/previewing-gpt-5-6-sol/",https://nitter.net/OpenAI/status/2070555272230384038#m
Other,Research Paper Publication,OpenAI research paper on AI agents transforming work,A new OpenAI research paper shows how AI agents are transforming work,R to @OpenAI: openai.com/index/how-agents-…,https://nitter.net/OpenAI/status/2070196107699970398#m
Product Launch,Internal adoption of Codex agents,"Used across all departments for complex, long-running, cross-functional tasks","Across our entire company, people are using Codex to do work that is more complex, longer-running, and increasingly cross-functional.","Work at OpenAI is being transformed by agents, in every department. Across our entire company, people are using Codex to do work that is more complex, longer-running, and increasingly cross-functional. Our internal usage offers an early look at how agentic tools may reshape work as they become more capable and broadly available.",https://nitter.net/OpenAI/status/2070196105745518913#m
Model Release,GPT-5 Pro,Used to solve a 3-year-old immunology mystery,"GPT-5 Pro helped solve a 3-year-old immunology mystery, offering insights into T cell behavior.","RT by @OpenAI: I’m very excited about this article from @OpenAI on my attempt to use GPT-5 Pro to understand the results of an experiment we did several years ago. Remarkably, GPT-5 Pro figured out the key mechanisms, as explained in the article & infographic below! https://openai.com/index/gpt-5-immunology-mystery/",https://nitter.net/DeryaTR_/status/2069846329287651765#m
Other,New Dataset Introduction,DialoguE COntradiction DEtection (DECODE) dataset with human-human and human-bot contradictory dialogues,a new conversational dataset containing both human-human and human-bot contradictory dialogues,"I like fish, especially dolphins: Addressing Contradictions in Dialogue Modeling",http://arxiv.org/abs/2012.13391v2
Model Release,Best Contradiction Detection Model,Structured utterance-based Transformer model for dialogue contradiction detection,our best contradiction detection model correlates well with human judgments,"I like fish, especially dolphins: Addressing Contradictions in Dialogue Modeling",http://arxiv.org/abs/2012.13391v2
Tool Comparison,Structured vs Unstructured Approaches,Structured utterance-based approach is more robust and transferable than unstructured approach,the structured utterance-based approach is more robust and transferable on both analysis and out-of-distribution dialogues,"I like fish, especially dolphins: Addressing Contradictions in Dialogue Modeling",http://arxiv.org/abs/2012.13391v2
Other,Privatech project focus,Corporations and law firms as agents of GDPR compliance,We shift this perspective with the Privatech project to focus on corporations and law firms as agents of compliance.,Compliance Generation for Privacy Documents under GDPR: A Roadmap for Implementing Automation and Machine Learning,http://arxiv.org/abs/2012.12718v1
Other,Roadmap for compliance automation,Identification of compliance issues broken down into machine learning and automation tasks,"We provide a roadmap for compliance assessment and generation by identifying compliance issues, breaking them down into tasks that can be addressed through machine learning and automation.",Compliance Generation for Privacy Documents under GDPR: A Roadmap for Implementing Automation and Machine Learning,http://arxiv.org/abs/2012.12718v1
Research,Neural Seq2Seq document expansion adaptation,Effective on standard IR tasks with scarce labels and long documents,"we show that this neural document expansion approach can be effectively adapted to standard IR tasks, where labels are scarce and many long documents are present",Neural document expansion for ad-hoc information retrieval,http://arxiv.org/abs/2012.14005v1
Other,Feature selection and extraction methods reviewed,Multiple common methods with numerical implementations,This paper reviews theory and motivation of different common methods of feature selection and extraction and introduces some of their applications. Some numerical implementations are also shown.,Feature Selection and Feature Extraction in Pattern Analysis: A Literature Review,http://arxiv.org/abs/1905.02845v1
Model Release,Best single model F1 score,73.97%,The best single model achieves an F1 score of 73.97%,Conditioning LSTM Decoder and Bi-directional Attention Based Question Answering System,http://arxiv.org/abs/1905.02019v1
Model Release,Best single model EM score,64.95%,and EM score of 64.95% on test set,Conditioning LSTM Decoder and Bi-directional Attention Based Question Answering System,http://arxiv.org/abs/1905.02019v1
Other,Performance improvement from conditioning end-index decoder,15.16%,Experiment shows this has increased model performance by 15.16%,Conditioning LSTM Decoder and Bi-directional Attention Based Question Answering System,http://arxiv.org/abs/1905.02019v1
Other,Proposed method,Collaborative machine teaching with multiple distributed teachers using trusted instance verification and limited data modification,We propose a collaborative and privacy-preserving machine teaching paradigm with multiple distributed teachers...,Robust Federated Training via Collaborative Machine Teaching using Trusted Instances,http://arxiv.org/abs/1905.02941v1
Metric,Effectiveness,Successfully identifies training set bugs and suggests label corrections,Experiments on toy and real data demonstrate that our approach can identify training set bugs effectively and suggest appropriate changes to the labels.,Robust Federated Training via Collaborative Machine Teaching using Trusted Instances,http://arxiv.org/abs/1905.02941v1
Other,System Approach,"Combines image classification, object detection, and budgeted crowdsourcing",Our system combines state-of-the-art image classification and object detection techniques with budgeted crowdsourcing,Image Matters: Scalable Detection of Offensive and Non-Compliant Content / Logo in Product Images,http://arxiv.org/abs/1905.02234v2
Other,Challenges Addressed,"Lack of training data, severe class imbalance, fine-grained class definitions","We resolve a number of technical challenges such as lack of training data, severe class imbalance, fine-grained class definitions",Image Matters: Scalable Detection of Offensive and Non-Compliant Content / Logo in Product Images,http://arxiv.org/abs/1905.02234v2
Other,Application Domain,"Extremely large, diverse, and evolving e-commerce product image datasets","Customized for a massive, diverse, and constantly evolving product catalog",Image Matters: Scalable Detection of Offensive and Non-Compliant Content / Logo in Product Images,http://arxiv.org/abs/1905.02234v2
Research,Semantic Referee for Error Analysis,Proposed a system using ontological reasoning to characterize and correct errors in deep learning models,The semantic referee relies on ontological reasoning about spatial knowledge in order to characterize errors,Semantic Referee: A Neural-Symbolic Framework for Enhancing Geospatial Semantic Segmentation,http://arxiv.org/abs/1904.13196v1
Research,Application Domain,Semantic segmentation of satellite imagery,Improve the performance of semantic segmentation for satellite imagery data,Semantic Referee: A Neural-Symbolic Framework for Enhancing Geospatial Semantic Segmentation,http://arxiv.org/abs/1904.13196v1
Other,Application domain,Mountain car problem,"We apply this concept to a typical problem known to the RL community, the mountain car problem",Bayesian policy selection using active inference,http://arxiv.org/abs/1904.08149v2
Other,Key theoretical framework,Active inference and free energy principle,"We explore active inference and the free energy principle, a normative theory from neuroscience",Bayesian policy selection using active inference,http://arxiv.org/abs/1904.08149v2
Launch,Build Club platform launch,Available on Product Hunt,Build Club was recently launched and is available on Product Hunt.,Solaris,https://www.producthunt.com/products/build-club
Product Launch,Banger Mail launch,Shared mailboxes for teams and AI agents launched on Product Hunt,Banger Mail is a new product that offers shared mailboxes designed for teams and AI agents.,Banger Mail,https://www.producthunt.com/products/banger-mail
Product Launch,Macuse AI tool for macOS,Launched and available on Product Hunt,Give Your AI Superpowers on macOS,Macuse,https://www.producthunt.com/products/macuse
Launch,Personal AI agent availability,Desktop and iPhone,A personal AI agent that runs on your desktop and iPhone,Flowly,https://www.producthunt.com/products/flowly-6
Launch,Product Hunt listing,https://www.producthunt.com/products/flowly-6,Featured on Product Hunt with discussion and product links,Flowly,https://www.producthunt.com/products/flowly-6
Launch,AI Summit Event,150 education and industry leaders attended,"Google, the New York Jobs CEO Council and Urban Assembly hosted an AI summit for 150 education and industry leaders.",New York City educators and industry leaders gathered at Google’s offices to shape the future of AI in classrooms.,https://blog.google/products-and-platforms/products/education/nyc-ai-summit/
Other,Publication,Research published in Nature,Research in “Nature” shows our conversational AI system matches primary care physicians in complex disease management.,"New research shows how AMIE, our medical AI, could help manage health conditions.",https://blog.google/innovation-and-ai/models-and-research/google-research/amie-for-disease-management-in-nature/
